fileId,fileUrls for custom selected,size
7815342565,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/266/AERDT_L2_VIIRS_SNPP.A2023266.0448.002.2023266171854.nc,12083997
7815369607,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/266/AERDT_L2_VIIRS_SNPP.A2023266.0624.002.2023266191808.nc,15085357
7815369599,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/266/AERDT_L2_VIIRS_SNPP.A2023266.0630.002.2023266191808.nc,9830997
7815377897,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/266/AERDT_L2_VIIRS_SNPP.A2023266.0806.002.2023266203820.nc,14156596
7815706279,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/267/AERDT_L2_VIIRS_SNPP.A2023267.0430.002.2023267170900.nc,10919526
7815732586,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/267/AERDT_L2_VIIRS_SNPP.A2023267.0606.002.2023267191929.nc,15428538
7815732564,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/267/AERDT_L2_VIIRS_SNPP.A2023267.0612.002.2023267191935.nc,9774856
7815748084,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/267/AERDT_L2_VIIRS_SNPP.A2023267.0748.002.2023267201922.nc,13183369
7815748081,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/267/AERDT_L2_VIIRS_SNPP.A2023267.0754.002.2023267201933.nc,10314706
7816202793,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/268/AERDT_L2_VIIRS_SNPP.A2023268.0548.002.2023268181957.nc,15407335
7816207191,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/268/AERDT_L2_VIIRS_SNPP.A2023268.0554.002.2023268183002.nc,9520884
7816281918,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/268/AERDT_L2_VIIRS_SNPP.A2023268.0730.002.2023268200927.nc,12883120
7816281919,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/268/AERDT_L2_VIIRS_SNPP.A2023268.0736.002.2023268200945.nc,10219430
7817105253,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/269/AERDT_L2_VIIRS_SNPP.A2023269.0530.002.2023269175404.nc,15997692
7817112085,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/269/AERDT_L2_VIIRS_SNPP.A2023269.0536.002.2023269180353.nc,10793964
7817244200,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/269/AERDT_L2_VIIRS_SNPP.A2023269.0712.002.2023269194405.nc,12603168
7817244401,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/269/AERDT_L2_VIIRS_SNPP.A2023269.0718.002.2023269194409.nc,9397321
7818558308,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/270/AERDT_L2_VIIRS_SNPP.A2023270.0512.002.2023270173428.nc,13697465
7818571931,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/270/AERDT_L2_VIIRS_SNPP.A2023270.0518.002.2023270174429.nc,12419329
7818624998,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/270/AERDT_L2_VIIRS_SNPP.A2023270.0648.002.2023270192436.nc,15183797
7818624991,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/270/AERDT_L2_VIIRS_SNPP.A2023270.0654.002.2023270192438.nc,12474624
7818625000,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/270/AERDT_L2_VIIRS_SNPP.A2023270.0700.002.2023270192439.nc,9387942
7819411641,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/271/AERDT_L2_VIIRS_SNPP.A2023271.0448.002.2023271171852.nc,14834472
7819411640,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/271/AERDT_L2_VIIRS_SNPP.A2023271.0454.002.2023271171847.nc,11769190
7819463429,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/271/AERDT_L2_VIIRS_SNPP.A2023271.0630.002.2023271191901.nc,14896407
